40080	1246	1238
41580	1246	1238
41660	1246	1238
41760	1246	1238
44460	1246	1238
46940	1238	1327
47220	1238	1327
47240	1352	1238
47300	1374	1238
47320	1374	1238
47400	1305	1238
47420	1374	1246
47440	1374	1246
47460	1374	1246
47520	1374	1246
47560	1374	1238
47700	1246	1238
47720	1246	1238
47940	1365	1246
48100	1393	1246
48140	1393	1246
48140	1246	1238
48160	1393	1238
48160	1393	1246
48160	1246	1238
48180	1393	1238
48180	1393	1246
48200	1393	1246
48200	1246	1238
48260	1305	1246
48260	1246	1238
48300	1246	1238
48380	1352	1246
48380	1246	1238
48400	1352	1246
48400	1246	1238
48420	1352	1246
48440	1352	1246
48460	1352	1246
48840	1352	1246
48880	1352	1246
48940	1352	1246
48960	1352	1246
48960	1246	1238
49080	1246	1238
49120	1352	1246
49140	1352	1246
49140	1352	1238
49160	1352	1238
49360	1246	1399
49400	1246	1391
49420	1246	1391
49500	1238	1391
49520	1238	1391
49580	1246	1238
49900	1246	1238
49940	1246	1238
49980	1395	1246
50000	1395	1246
50020	1395	1246
50040	1395	1246
50060	1395	1246
50080	1395	1246
50100	1246	1238
50140	1395	1246
50180	1378	1246
50200	1378	1246
50220	1378	1246
50260	1378	1246
50320	1246	1238
50340	1378	1246
50360	1378	1246
50380	1378	1246
50420	1246	1238
50440	1378	1246
50560	1378	1246
50620	1378	1246
50640	1378	1246
50660	1378	1246
50700	1378	1246
50760	1378	1246
50780	1378	1246
50820	1378	1246
50840	1246	1238
50860	1378	1246
50860	1238	1246
50880	1378	1246
50900	1378	1246
50920	1378	1246
50960	1378	1246
50980	1378	1246
51120	1246	1238
51200	1378	1246
51300	1246	1238
51820	1378	1238
52680	1109	1246
52840	1109	1246
53160	1114	1181
53240	1114	1164
53260	1114	1109
53280	1114	1109
53300	1114	1109
53340	1114	1109
53360	1114	1109
53380	1114	1109
53400	1114	1109
53420	1114	1109
53440	1114	1109
53460	1114	1109
53480	1114	1109
53480	1164	1181
53500	1114	1109
53520	1114	1109
53540	1114	1109
53860	1164	1181
53880	1114	1109
53880	1164	1181
53900	1114	1109
53900	1164	1181
53920	1114	1109
53920	1164	1181
53940	1114	1109
53940	1164	1181
53960	1114	1109
53960	1164	1181
53980	1114	1109
54000	1114	1109
54000	1164	1181
54020	1114	1109
54020	1115	1295
54040	1114	1109
54040	1115	1295
54060	1114	1164
54060	1114	1109
54060	1115	1295
54080	1164	1181
54080	1295	1115
54080	1109	1114
54100	1114	1109
54100	1518	1295
54120	1114	1295
54120	1518	1246
54140	1114	1295
54140	1518	1246
54160	1114	1109
54180	1181	1295
54200	1114	1295
54200	1115	1518
54220	1114	1115
54220	1114	1295
54220	1115	1295
54240	1114	1295
54240	1115	1295
54300	1114	1295
54320	1378	1518
54360	1109	1374
54380	1114	1115
54520	1114	1295
54540	1114	1295
54560	1114	1295
54580	1114	1115
54580	1114	1295
54600	1114	1115
54600	1114	1295
54620	1114	1295
54640	1114	1295
54660	1114	1295
54680	1109	1518
54700	1114	1295
54700	1109	1518
54720	1114	1295
54720	1109	1518
54740	1114	1295
54740	1378	1109
54760	1378	1109
54840	1114	1295
54940	1115	1181
54960	1115	1181
54980	1115	1181
54980	1181	1295
55020	1164	1109
55020	1518	1181
55020	1295	1114
55040	1164	1109
55060	1164	1109
55080	1114	1295
55080	1164	1109
55100	1114	1295
55100	1164	1109
55120	1114	1295
55120	1164	1109
55140	1114	1295
55140	1115	1109
55140	1115	1295
55160	1513	1518
55160	1513	1207
55160	1518	1207
55160	1295	1114
55160	1109	1115
55180	1513	1518
55180	1115	1109
55180	1115	1207
55180	1518	1207
55200	1513	1518
55200	1295	1114
55200	1109	1115
55220	1513	1518
55220	1115	1109
55220	1115	1207
55240	1513	1518
55240	1115	1109
55240	1115	1207
55260	1513	1518
55280	1513	1518
55280	1115	1109
55280	1115	1207
55300	1513	1518
55300	1295	1114
55300	1109	1115
55300	1109	1207
55320	1513	1518
55320	1114	1295
55340	1114	1295
55340	1114	1207
55340	1295	1207
55360	1295	1114
55360	1115	1207
55380	1513	1518
55380	1114	1295
55400	1320	1115
55400	1513	1207
55400	1164	1181
55400	1518	1109
55400	1295	1114
55420	1320	1115
55420	1513	1518
55420	1513	1207
55420	1518	1109
55420	1518	1207
55420	1295	1114
55420	1115	1374
55440	1513	1115
55440	1513	1518
55440	1513	1207
55440	1518	1207
55440	1109	1114
55460	1513	1207
55460	1114	1109
55460	1518	1207
55480	1513	1518
55480	1114	1109
55500	1513	1518
55500	1114	1109
55520	1513	1518
55520	1114	1109
55540	1513	1518
55540	1393	1207
55560	1513	1518
55560	1164	1181
55560	1295	1114
55560	1393	1207
55580	1513	1518
55580	1393	1207
55580	1109	1207
55600	1513	1518
55600	1109	1207
55620	1513	1518
55620	1164	1181
55620	1393	1207
55620	1109	1207
55640	1513	1518
55660	1393	1207
55680	1513	1518
55680	1164	1181
55680	1295	1114
55680	1393	1207
55680	1109	1207
55700	1513	1518
55700	1164	1181
55700	1295	1114
55700	1109	1115
55720	1513	1518
55720	1295	1114
55720	1393	1207
55740	1513	1518
55740	1295	1114
55740	1393	1207
55740	1391	1115
55760	1513	1518
55760	1295	1114
55760	1393	1207
55760	1391	1115
55760	1109	1207
55760	1207	1114
55780	1513	1518
55780	1295	1114
55780	1295	1109
55780	1295	1207
55780	1393	1207
55780	1207	1114
55800	1513	1518
55800	1295	1114
55800	1295	1109
55800	1295	1207
55800	1393	1207
55800	1327	1115
55800	1109	1207
55800	1207	1114
55820	1383	1115
55820	1513	1518
