650	2BIO1
498	2BIO1
627	2BIO1
857	2BIO1
487	2BIO1
28	2BIO1
927	2BIO1
72	2BIO1
400	2BIO1
945	2BIO1
637	2BIO1
443	2BIO1
177	2BIO1
984	2BIO1
954	2BIO1
859	2BIO1
489	2BIO1
991	2BIO1
62	2BIO1
428	2BIO1
145	2BIO1
471	2BIO1
65	2BIO1
809	2BIO1
681	2BIO1
970	2BIO1
854	2BIO1
486	2BIO1
531	2BIO1
725	2BIO1
527	2BIO1
465	2BIO1
674	2BIO1
677	2BIO1
475	2BIO1
124	2BIO1
111	2BIO1
478	2BIO2
226	2BIO2
160	2BIO2
372	2BIO2
464	2BIO2
763	2BIO2
886	2BIO2
544	2BIO2
720	2BIO2
3	2BIO2
407	2BIO2
171	2BIO2
46	2BIO2
165	2BIO2
441	2BIO2
257	2BIO2
239	2BIO2
27	2BIO2
173	2BIO2
477	2BIO2
312	2BIO2
612	2BIO2
339	2BIO2
884	2BIO2
61	2BIO2
147	2BIO2
327	2BIO2
353	2BIO2
504	2BIO2
429	2BIO2
268	2BIO2
184	2BIO2
295	2BIO2
979	2BIO2
63	2BIO3
1	2BIO3
265	2BIO3
39	2BIO3
494	2BIO3
106	2BIO3
272	2BIO3
55	2BIO3
779	2BIO3
170	2BIO3
447	2BIO3
119	2BIO3
425	2BIO3
545	2BIO3
202	2BIO3
255	2BIO3
275	2BIO3
653	2BIO3
252	2BIO3
199	2BIO3
626	2BIO3
649	2BIO3
364	2BIO3
70	2BIO3
894	2BIO3
587	2BIO3
346	2BIO3
374	2BIO3
871	2BIO3
939	2BIO3
101	2BIO3
196	2BIO3
117	2BIO3
179	2BIO3
122	2BIO3
132	2BIO3
778	2BIO3
240	2BIO3
883	2BIO3
205	2BIO3
159	MP
582	MP
753	MP
564	MP
658	MP
9996	MP
454	MP
577	MP
694	MP
640	MP
151	MP
869	MP
605	MP
502	MP
38	MP
54	MP
874	MP
866	MP
691	MP
220	MP
201	MP
687	MP
219	MP
156	MP
576	MP
634	MP
642	MP
245	MP
525	MP
9995	MP
34	MP
41	MP
243	MP
420	MP
520	MP
387	MPst1
236	MPst1
466	MPst1
958	MPst1
277	MPst1
438	MPst1
777	MPst1
445	MPst1
484	MPst1
702	MPst1
435	MPst1
497	MPst1
103	MPst1
376	MPst1
638	MPst1
366	MPst1
974	MPst1
908	MPst1
391	MPst1
510	MPst1
841	MPst1
20	MPst1
513	MPst1
655	MPst1
149	MPst1
279	MPst1
290	MPst1
280	MPst1
274	MPst1
1543	MPst2
1819	MPst2
1260	MPst2
1237	MPst2
1320	MPst2
1214	MPst2
1212	MPst2
1412	MPst2
1485	MPst2
1423	MPst2
1518	MPst2
1336	MPst2
1805	MPst2
1204	MPst2
1784	MPst2
1894	MPst2
1342	MPst2
1359	MPst2
1332	MPst2
1383	MPst2
1519	MPst2
1228	MPst2
1238	MPst2
1295	MPst2
1870	MPst2
1366	MPst2
1216	MPst2
1512	MPst2
1594	MPst2
1232	MPst2
1828	MPst2
1218	MPst2
1401	MPst2
1067	MPst2
1201	MPst2
1345	MPst2
1339	MPst2
1324	MPst2
388	PC
882	PC
311	PC
87	PC
9	PC
743	PC
79	PC
210	PC
48	PC
413	PC
791	PC
492	PC
601	PC
480	PC
232	PC
285	PC
706	PC
134	PC
15	PC
21	PC
92	PC
71	PC
468	PC
45	PC
998	PC
751	PC
200	PC
488	PC
826	PC
242	PC
253	PC
120	PC
172	PC
448	PC
322	PC
453	PC
496	PC
211	PC
80	PC
845	PC
89	PC
450	PC
771	PC
194	PC
131	PCst
115	PCst
603	PCst
214	PCst
14	PCst
254	PCst
843	PCst
867	PCst
213	PCst
533	PCst
2	PCst
923	PCst
343	PCst
356	PCst
190	PCst
765	PCst
941	PCst
621	PCst
390	PCst
9998	PCst
382	PCst
784	PCst
276	PCst
258	PCst
185	PCst
548	PCst
222	PCst
176	PCst
335	PCst
85	PCst
181	PCst
269	PCst
116	PCst
836	PCst
786	PCst
256	PCst
267	PCst
938	PCst
744	PCst
58	PCst
209	PCst
790	PSIst
917	PSIst
306	PSIst
909	PSIst
977	PSIst
90	PSIst
446	PSIst
893	PSIst
241	PSIst
615	PSIst
424	PSIst
921	PSIst
434	PSIst
246	PSIst
647	PSIst
452	PSIst
491	PSIst
333	PSIst
622	PSIst
769	PSIst
797	PSIst
624	PSIst
959	PSIst
227	PSIst
47	PSIst
32	PSIst
440	PSIst
4	PSIst
960	PSIst
125	PSIst
798	PSIst
920	PSIst
248	PSIst
325	PSIst
